sid,pair,file
20200327,MFEF->MLIP,induced_flow_MFEFtoMLIP.npz
20200328,MFEF->MLIP,induced_flow_MFEFtoMLIP.npz
20200401,MFEF->MLIP,induced_flow_MFEFtoMLIP.npz
20200402,MFEF->MLIP,induced_flow_MFEFtoMLIP.npz
20200926,MFEF->MLIP,induced_flow_MFEFtoMLIP.npz
20200929,MFEF->MLIP,induced_flow_MFEFtoMLIP.npz
20201001,MFEF->MLIP,induced_flow_MFEFtoMLIP.npz
20201004,MFEF->MLIP,induced_flow_MFEFtoMLIP.npz
20201204,MFEF->MLIP,induced_flow_MFEFtoMLIP.npz
20201211,MFEF->MLIP,induced_flow_MFEFtoMLIP.npz
20201216,MFEF->MLIP,induced_flow_MFEFtoMLIP.npz
20200926,MFEF->MSC,induced_flow_MFEFtoMSC.npz
20200929,MFEF->MSC,induced_flow_MFEFtoMSC.npz
20201001,MFEF->MSC,induced_flow_MFEFtoMSC.npz
20201004,MFEF->MSC,induced_flow_MFEFtoMSC.npz
20201204,MFEF->MSC,induced_flow_MFEFtoMSC.npz
20201211,MFEF->MSC,induced_flow_MFEFtoMSC.npz
20201216,MFEF->MSC,induced_flow_MFEFtoMSC.npz
20200327,MLIP->MFEF,induced_flow_MLIPtoMFEF.npz
20200328,MLIP->MFEF,induced_flow_MLIPtoMFEF.npz
20200401,MLIP->MFEF,induced_flow_MLIPtoMFEF.npz
20200402,MLIP->MFEF,induced_flow_MLIPtoMFEF.npz
20200926,MLIP->MFEF,induced_flow_MLIPtoMFEF.npz
20200929,MLIP->MFEF,induced_flow_MLIPtoMFEF.npz
20201001,MLIP->MFEF,induced_flow_MLIPtoMFEF.npz
20201004,MLIP->MFEF,induced_flow_MLIPtoMFEF.npz
20201204,MLIP->MFEF,induced_flow_MLIPtoMFEF.npz
20201211,MLIP->MFEF,induced_flow_MLIPtoMFEF.npz
20201216,MLIP->MFEF,induced_flow_MLIPtoMFEF.npz
20200926,MLIP->MSC,induced_flow_MLIPtoMSC.npz
20200929,MLIP->MSC,induced_flow_MLIPtoMSC.npz
20201001,MLIP->MSC,induced_flow_MLIPtoMSC.npz
20201004,MLIP->MSC,induced_flow_MLIPtoMSC.npz
20201204,MLIP->MSC,induced_flow_MLIPtoMSC.npz
20201211,MLIP->MSC,induced_flow_MLIPtoMSC.npz
20201216,MLIP->MSC,induced_flow_MLIPtoMSC.npz
20200926,MSC->MFEF,induced_flow_MSCtoMFEF.npz
20200929,MSC->MFEF,induced_flow_MSCtoMFEF.npz
20201001,MSC->MFEF,induced_flow_MSCtoMFEF.npz
20201004,MSC->MFEF,induced_flow_MSCtoMFEF.npz
20201204,MSC->MFEF,induced_flow_MSCtoMFEF.npz
20201211,MSC->MFEF,induced_flow_MSCtoMFEF.npz
20201216,MSC->MFEF,induced_flow_MSCtoMFEF.npz
20200926,MSC->MLIP,induced_flow_MSCtoMLIP.npz
20200929,MSC->MLIP,induced_flow_MSCtoMLIP.npz
20201001,MSC->MLIP,induced_flow_MSCtoMLIP.npz
20201004,MSC->MLIP,induced_flow_MSCtoMLIP.npz
20201204,MSC->MLIP,induced_flow_MSCtoMLIP.npz
20201211,MSC->MLIP,induced_flow_MSCtoMLIP.npz
20201216,MSC->MLIP,induced_flow_MSCtoMLIP.npz
