sid,pair,IC,pIC,IR,pIR
20230622,SFEF->SLIP,0.34264274047374044,0.8423153692614771,0.017747741087774393,0.023952095808383235
20230627,SFEF->SLIP,0.5694793860782802,0.003992015968063872,0.05025092197074067,0.013972055888223553
20230705,SFEF->SLIP,0.06069931898561426,0.6586826347305389,0.03589941940423233,0.001996007984031936
20230707,SFEF->SLIP,0.0843243388686282,1.0,0.017017242150099372,0.04590818363273453
20230710,SFEF->SLIP,0.012725146541508994,0.7465069860279441,0.014464914968501842,0.35528942115768464
20231025,SFEF->SLIP,0.020808022700691587,0.21157684630738524,0.019378095107055033,0.0658682634730539
20231103,SFEF->SLIP,0.0152253197565131,0.11377245508982035,0.010624742500746374,0.4550898203592814
20231109,SFEF->SLIP,0.010137684155769584,0.8163672654690619,0.014450331803972497,0.17964071856287425
20231121,SFEF->SLIP,0.1658878857018797,0.10778443113772455,0.0349604881990274,0.001996007984031936
20231123,SFEF->SLIP,0.032359806773979385,0.2315369261477046,0.016171168514016263,0.36726546906187624
20231130,SFEF->SLIP,0.24628789897517156,0.49700598802395207,0.02092522214898647,0.001996007984031936
20231205,SFEF->SLIP,0.42538825333689456,0.001996007984031936,0.02471537241868209,0.005988023952095809
20231025,SFEF->SSC,0.015799626334950616,0.5588822355289421,0.048108104200800944,0.001996007984031936
20231103,SFEF->SSC,0.02350058681493931,0.6327345309381237,0.03570021447110067,0.001996007984031936
20231109,SFEF->SSC,0.03470898313511751,0.013972055888223553,0.03041326566761211,0.001996007984031936
20231121,SFEF->SSC,0.24567335183422384,0.9680638722554891,0.05718320944317478,0.001996007984031936
20231123,SFEF->SSC,0.0026857986936224274,0.46107784431137727,0.028096242369267083,0.001996007984031936
20231130,SFEF->SSC,0.12144384596786086,0.9421157684630739,0.013447215304343535,0.08383233532934131
20231205,SFEF->SSC,0.08362388963569084,0.1217564870259481,0.039225914144761384,0.001996007984031936
20230622,SLIP->SFEF,0.2897993716191258,0.6467065868263473,0.01588440651053343,0.05189620758483034
20230627,SLIP->SFEF,0.4625540785516585,0.005988023952095809,0.04697997087514411,0.015968063872255488
20230705,SLIP->SFEF,0.09255921949837623,0.05588822355289421,0.023379534864001007,0.17964071856287425
20230707,SLIP->SFEF,0.04524744384534052,1.0,0.009680133518017442,0.40718562874251496
20230710,SLIP->SFEF,0.029504604872201686,0.02594810379241517,0.020857384974258233,0.043912175648702596
20231025,SLIP->SFEF,0.017447949779484613,0.3972055888223553,0.01824091223837144,0.09181636726546906
20231103,SLIP->SFEF,0.009986781605800094,0.49700598802395207,0.011905964535574057,0.2934131736526946
20231109,SLIP->SFEF,0.015787519483817916,0.2634730538922156,0.017449384252510032,0.04790419161676647
20231121,SLIP->SFEF,0.11152238545603027,0.23353293413173654,0.029577027877117277,0.001996007984031936
20231123,SLIP->SFEF,0.034498822776704914,0.1656686626746507,0.016321238577891552,0.27944111776447106
20231130,SLIP->SFEF,0.5346574319522877,0.017964071856287425,0.022442712523576276,0.003992015968063872
20231205,SLIP->SFEF,0.5710903028548453,0.001996007984031936,0.028698900124857308,0.001996007984031936
20231025,SLIP->SSC,0.006640064795491717,0.27944111776447106,0.030554943259973603,0.001996007984031936
20231103,SLIP->SSC,0.003655038252688632,0.782435129740519,0.015855701933391222,0.04790419161676647
20231109,SLIP->SSC,0.06860621853035812,0.09181636726546906,0.022074346767463192,0.021956087824351298
20231121,SLIP->SSC,0.11475672138718948,0.00998003992015968,0.07447048415339708,0.001996007984031936
20231123,SLIP->SSC,0.010755790555360596,0.8383233532934131,0.03288620892661744,0.001996007984031936
20231130,SLIP->SSC,0.7605083279967518,0.9840319361277445,0.02854690366310691,0.001996007984031936
20231205,SLIP->SSC,0.14380462570771294,0.9221556886227545,0.032867515405644115,0.001996007984031936
20231025,SSC->SFEF,0.020612567461284016,0.041916167664670656,0.06440847565426033,0.001996007984031936
20231103,SSC->SFEF,0.05312209856558733,0.654690618762475,0.03967617852508631,0.001996007984031936
20231109,SSC->SFEF,0.03738276643093288,0.09181636726546906,0.030449420860476695,0.003992015968063872
20231121,SSC->SFEF,0.5554743116154526,0.9940119760479041,0.06993306735626034,0.001996007984031936
20231123,SSC->SFEF,0.005329885229908733,0.12375249500998003,0.020120794642112097,0.007984031936127744
20231130,SSC->SFEF,0.3330489974490355,0.7225548902195609,0.012681182818286917,0.07385229540918163
20231205,SSC->SFEF,0.0769985444583027,0.11177644710578842,0.034603694303349655,0.001996007984031936
20231025,SSC->SLIP,0.006844005050660465,0.07385229540918163,0.0388861982612264,0.001996007984031936
20231103,SSC->SLIP,0.015193244317496503,0.08782435129740519,0.01009169645739631,0.7245508982035929
20231109,SSC->SLIP,0.12333102692290993,0.001996007984031936,0.034052835986694105,0.001996007984031936
20231121,SSC->SLIP,0.31455066383894825,0.7644710578842315,0.08169520129604303,0.001996007984031936
20231123,SSC->SLIP,0.01745052724477897,0.3992015968063872,0.040220308036331594,0.001996007984031936
20231130,SSC->SLIP,0.9457395796222331,0.47105788423153694,0.017502508277846655,0.003992015968063872
20231205,SSC->SLIP,0.1102958339496441,0.9540918163672655,0.03963665223992608,0.001996007984031936
